"GPA","Gender","breakfast","calories_chicken","calories_day","calories_scone","coffee","comfort_food_reasons_coded","cook","cuisine","diet_current_coded","drink","eating_changes_coded","eating_changes_coded1","eating_out","employment","ethnic_food","exercise","father_education","fav_cuisine_coded","fav_food","fries","fruit_day","grade_level","greek_food","healthy_feeling","ideal_diet_coded","income","indian_food","italian_food","life_rewarding","marital_status","mother_education","nutritional_check","on_off_campus","parents_cook","pay_meal_out","persian_food","self_perception_weight","soup","sports","thai_food","tortilla_calories","turkey_calories","veggies_day","vitamins","waffle_calories","weight","kg"
3,"Female",1,610,2,420,2,2,1,1,3,1,1,3,2,3,2,1,4,5,1,1,5,3,3,2,6,4,1,5,3,2,4,2,2,1,3,2,2,1,1,2,940,690,5,2,760,150,68.039553660528
3.7,"Female",1,610,3,420,2,2,3,NA,2,2,1,8,4,2,4,1,5,1,3,1,5,2,3,7,5,6,2,5,7,1,2,3,1,2,3,1,4,2,1,2,1165,500,5,2,900,150,68.039553660528
3.4,"Female",1,720,4,420,2,1,2,6,2,2,1,3,2,2,4,3,2,1,1,1,3,4,5,4,2,6,3,5,2,2,3,4,1,1,4,3,4,1,1,5,940,500,4,2,1315,170,77.1114941485984
3.89,"Female",1,610,3,980,2,2,3,1,1,1,1,2,2,3,4,2,4,1,1,1,4,4,3,6,2,5,3,5,8,2,4,4,1,1,3,3,4,1,1,2,1165,690,3,2,1315,150,68.039553660528
3,"Male",1,720,NA,980,2,9,5,1,2,2,1,2,5,3,3,1,5,2,1,1,5,4,1,3,2,6,3,4,5,2,2,1,2,3,3,1,1,1,1,3,1165,690,3,2,1315,175,79.379479270616
3.4,"Male",1,430,3,315,1,3,3,1,3,2,1,9,2,3,4,1,4,1,1,1,3,1,5,10,2,6,3,5,8,1,4,3,1,1,3,3,2,1,1,3,940,500,4,2,760,140,63.5035834164928
2.9,"Female",1,720,4,980,2,5,2,1,4,1,1,3,4,2,4,1,2,1,1,1,5,2,5,6,3,3,3,5,4,1,3,4,1,1,3,2,6,1,2,4,940,690,5,1,1315,120,54.4316429284224
3.6,"Female",1,610,3,420,2,2,4,1,2,2,1,3,2,2,3,NA,4,1,1,1,5,2,5,6,1,6,4,5,7,1,4,1,1,2,3,2,3,1,2,4,940,500,4,2,900,135,61.2355982944752
3.5,"Female",1,430,2,980,1,3,3,1,2,1,2,5,1,NA,5,NA,2,4,3,1,4,3,5,6,2,3,5,5,8,2,2,3,NA,1,2,5,NA,2,2,5,940,345,4,1,900,100,45.359702440352
3.2,"Female",1,610,4,420,2,1,1,1,1,1,2,4,2,2,5,1,4,4,1,1,5,4,5,8,7,5,5,5,10,1,2,4,2,1,6,5,3,1,1,5,725,500,5,1,760,170,77.1114941485984
3.605,"Female",1,610,3,315,2,4,3,1,1,1,2,5,2,2,5,NA,4,1,1,1,5,2,5,3,6,6,5,5,3,2,4,2,1,2,4,5,1,1,2,5,940,500,5,2,900,113,51.2564637575977
3.8,"Male",1,430,2,420,1,3,3,1,2,2,1,2,2,2,4,2,3,1,1,1,4,1,4,4,5,4,3,5,4,1,4,3,1,2,3,3,3,1,1,3,725,345,4,2,900,168,76.2043000997913
2.8,"Male",1,430,NA,980,2,2,4,1,2,1,1,3,2,NA,3,1,5,1,3,1,5,1,3,8,7,6,2,4,9,1,5,2,1,1,3,4,2,1,1,1,940,345,5,2,900,145,65.7715685385104
3.5,"Male",2,430,NA,315,1,1,4,1,2,2,1,3,2,3,4,1,4,4,1,1,5,2,4,2,7,5,4,5,3,1,4,3,1,1,3,4,1,2,1,4,940,345,5,1,760,155,70.3075387825456
3.83,"Male",1,430,3,315,2,5,3,2,2,1,1,3,2,NA,3,2,2,1,1,1,3,3,4,9,2,3,4,5,9,2,4,2,1,2,6,NA,1,2,2,4,1165,690,3,2,900,150,68.039553660528
3.6,"Male",1,720,3,420,2,1,5,1,1,1,2,5,2,3,2,1,3,5,2,1,4,3,1,8,4,1,1,3,8,1,2,5,3,1,3,1,3,1,2,1,1165,500,5,2,760,169,76.6578971241949
3.3,"Male",1,610,4,980,1,5,3,1,4,1,1,3,3,3,5,1,2,0,1,1,5,2,5,8,5,6,5,5,8,1,2,5,1,1,3,5,2,1,1,5,1165,500,4,1,1315,185,83.9154495146512
3.3,"Male",1,610,4,420,2,2,1,1,3,1,1,3,5,NA,4,1,3,2,1,1,5,2,5,1,3,5,3,5,5,1,2,5,1,1,3,3,2,2,1,3,1165,500,5,2,900,200,90.719404880704
3.292,"Male",1,610,NA,980,2,2,4,1,4,2,3,4,3,NA,3,NA,2,5,3,1,4,4,4,5,3,3,2,5,1,1,5,1,3,1,3,3,4,1,2,1,940,500,4,1,1315,265,120.203211466933
3.5,"Male",1,610,3,420,2,1,1,2,1,1,2,5,3,3,5,1,4,1,1,2,5,2,5,10,7,6,4,5,10,1,5,4,1,1,6,2,2,1,1,4,940,690,5,1,900,165,74.8435090265808
3.35,"Female",2,610,2,315,2,2,3,NA,2,2,4,10,5,3,3,1,1,1,1,1,4,1,3,8,5,3,2,5,8,1,3,3,1,2,2,2,3,1,1,3,940,500,4,2,900,192,87.0906286854758
3.8,"Male",1,720,4,315,2,2,3,1,1,1,2,5,4,3,5,1,4,4,1,1,5,4,4,1,2,6,5,5,1,1,4,4,2,1,4,4,2,1,1,5,1165,500,5,1,1315,175,79.379479270616
2.8,"Female",1,610,4,980,2,9,2,1,1,1,2,5,3,2,2,1,2,5,3,2,4,2,5,9,2,5,2,5,10,1,4,5,1,1,3,1,2,2,1,2,725,345,4,1,1315,140,63.5035834164928
3.5,"Female",1,610,3,420,2,1,1,2,3,2,1,11,2,2,5,2,4,2,1,2,5,3,5,4,6,5,5,5,1,1,5,2,2,1,4,4,3,1,1,5,1165,690,5,1,1315,155,70.3075387825456
3.7,"Female",1,610,NA,420,2,2,2,1,3,2,1,11,2,3,5,NA,4,1,3,1,5,4,5,7,1,6,5,5,10,1,4,2,2,2,3,4,3,2,1,5,1165,500,4,2,1315,155,70.3075387825456
3.6,"Female",1,610,4,420,2,3,2,1,1,2,3,4,5,3,5,1,4,2,1,1,5,1,4,3,6,6,1,5,5,1,4,4,1,1,3,1,2,1,1,1,1165,690,5,1,1315,135,61.2355982944752
NA,"Female",1,610,2,980,2,3,2,NA,1,1,2,5,2,2,4,2,2,2,2,2,3,4,3,2,2,4,2,4,5,2,4,4,3,1,2,3,2,2,2,2,725,500,3,1,1315,118,53.5244488796153
3.9,"Male",1,610,4,980,2,2,3,1,1,1,2,5,5,2,2,1,2,1,1,1,4,4,3,2,7,6,2,5,1,1,2,4,1,2,3,2,2,1,1,2,1165,850,4,1,1315,210,95.2553751247392
2.6,"Female",1,610,4,980,2,3,3,2,1,NA,3,4,4,3,5,1,4,1,1,1,5,3,4,8,6,5,4,4,8,2,4,4,1,1,3,4,2,NA,1,4,1165,690,5,2,1315,180,81.6474643926336
